Results: 	[[0.5408]]	
Results: 	[[0.5408, 0.5222]]	
Results: 	[[0.5408, 0.5222, 0.5371]]	
Results: 	[[0.5408, 0.5222, 0.5371, 0.5299]]	
Results: 	[[0.5408, 0.5222, 0.5371, 0.5299, 0.529]]	
Results: 	[[0.5408, 0.5222, 0.5371, 0.5299, 0.529, 0.5177]]	
Results: 	[[0.5408, 0.5222, 0.5371, 0.5299, 0.529, 0.5177, 0.5356]]	
Results: 	[[0.5408, 0.5222, 0.5371, 0.5299, 0.529, 0.5177, 0.5356, 0.5291]]	
Results: 	[[0.5408, 0.5222, 0.5371, 0.5299, 0.529, 0.5177, 0.5356, 0.5291, 0.5235]]	
Results: 	[[0.5408, 0.5222, 0.5371, 0.5299, 0.529, 0.5177, 0.5356, 0.5291, 0.5235, 0.5332]]	
Results: 	[[0.5408, 0.5222, 0.5371, 0.5299, 0.529, 0.5177, 0.5356, 0.5291, 0.5235, 0.5332, 0.5327]]	
Results: 	[[0.5408, 0.5222, 0.5371, 0.5299, 0.529, 0.5177, 0.5356, 0.5291, 0.5235, 0.5332, 0.5327, 0.5446]]	
Results: 	[[0.5408, 0.5222, 0.5371, 0.5299, 0.529, 0.5177, 0.5356, 0.5291, 0.5235, 0.5332, 0.5327, 0.5446, 0.53]]	
Results: 	[[0.5408, 0.5222, 0.5371, 0.5299, 0.529, 0.5177, 0.5356, 0.5291, 0.5235, 0.5332, 0.5327, 0.5446, 0.53, 0.5155]]	
Results: 	[[0.5408, 0.5222, 0.5371, 0.5299, 0.529, 0.5177, 0.5356, 0.5291, 0.5235, 0.5332, 0.5327, 0.5446, 0.53, 0.5155, 0.536]]	
Results: 	[[0.5408, 0.5222, 0.5371, 0.5299, 0.529, 0.5177, 0.5356, 0.5291, 0.5235, 0.5332, 0.5327, 0.5446, 0.53, 0.5155, 0.536, 0.5275]]	
Results: 	[[0.5408, 0.5222, 0.5371, 0.5299, 0.529, 0.5177, 0.5356, 0.5291, 0.5235, 0.5332, 0.5327, 0.5446, 0.53, 0.5155, 0.536, 0.5275, 0.5276]]	
Results: 	[[0.5408, 0.5222, 0.5371, 0.5299, 0.529, 0.5177, 0.5356, 0.5291, 0.5235, 0.5332, 0.5327, 0.5446, 0.53, 0.5155, 0.536, 0.5275, 0.5276, 0.5335]]	
Results: 	[[0.5408, 0.5222, 0.5371, 0.5299, 0.529, 0.5177, 0.5356, 0.5291, 0.5235, 0.5332, 0.5327, 0.5446, 0.53, 0.5155, 0.536, 0.5275, 0.5276, 0.5335, 0.5179]]	
Results: 	20 Support Sets: (Max:0.5446, Mean:0.52968, SD:0.007609592284534172) | 	
